,hidro_level_m1,precip_acumu_sm,hidro_level_sm
2023-02-01 00:00:00,2.32,0.0,5.6
2023-02-01 03:00:00,1.41,0.0,5.64
2023-02-01 06:00:00,1.06,0.0,6.43
2023-02-01 09:00:00,1.87,0.0,7.1
2023-02-01 12:00:00,2.39,0.65,7.58
2023-02-01 15:00:00,1.72,0.22,7.73
2023-02-01 18:00:00,1.25,0.82,7.49
2023-02-01 21:00:00,1.95,0.81,7.18
2023-02-02 00:00:00,2.48,0.0,6.93
2023-02-02 03:00:00,1.74,0.0,6.76
2023-02-02 06:00:00,0.96,0.0,6.62
2023-02-02 09:00:00,1.53,0.0,6.5
2023-02-02 12:00:00,2.42,5.11,6.42
2023-02-02 15:00:00,2.02,0.16,6.47
2023-02-02 18:00:00,1.2,0.0,6.55
2023-02-02 21:00:00,1.59,1.21,6.6
2023-02-03 00:00:00,2.47,6.88,6.55
2023-02-03 03:00:00,2.06,12.98,6.54
2023-02-03 06:00:00,0.99,0.0,6.9
2023-02-03 09:00:00,1.21,0.0,7.11
2023-02-03 12:00:00,2.36,11.09,7.08
2023-02-03 15:00:00,2.32,27.87,7.12
2023-02-03 18:00:00,1.29,1.21,7.15
2023-02-03 21:00:00,1.32,0.41,6.99
2023-02-04 00:00:00,2.39,0.0,6.74
2023-02-04 03:00:00,2.36,0.0,6.59
2023-02-04 06:00:00,1.15,0.0,6.87
2023-02-04 09:00:00,0.96,0.0,7.2
2023-02-04 12:00:00,2.22,0.0,7.27
2023-02-04 15:00:00,2.58,0.0,7.52
2023-02-04 18:00:00,1.49,0.0,7.54
2023-02-04 21:00:00,1.11,0.0,7.46
2023-02-05 00:00:00,2.26,0.0,7.37
2023-02-05 03:00:00,2.64,0.0,7.23
2023-02-05 06:00:00,1.4,0.0,7.07
2023-02-05 09:00:00,0.78,0.0,6.98
2023-02-05 12:00:00,2.03,2.26,6.93
2023-02-05 15:00:00,2.8,0.46,6.82
2023-02-05 18:00:00,1.7,0.17,6.68
2023-02-05 21:00:00,0.94,0.57,6.56
2023-02-06 00:00:00,2.01,0.0,6.51
2023-02-06 03:00:00,2.82,0.0,6.52
2023-02-06 06:00:00,1.67,0.0,6.58
2023-02-06 09:00:00,0.68,0.0,6.77
2023-02-06 12:00:00,1.77,0.0,6.87
2023-02-06 15:00:00,2.89,0.0,6.78
2023-02-06 18:00:00,1.99,0.0,6.63
2023-02-06 21:00:00,0.9,0.0,6.5
2023-02-07 00:00:00,1.75,0.0,6.44
2023-02-07 03:00:00,2.85,0.0,6.43
2023-02-07 06:00:00,1.93,0.0,6.41
2023-02-07 09:00:00,0.65,0.0,6.39
2023-02-07 12:00:00,1.47,0.5,6.3
2023-02-07 15:00:00,2.87,0.0,6.19
2023-02-07 18:00:00,2.26,0.0,6.11
2023-02-07 21:00:00,0.9,0.06,6.05
2023-02-08 00:00:00,1.41,0.0,6.02
2023-02-08 03:00:00,2.75,0.0,6.07
2023-02-08 06:00:00,2.18,0.0,6.13
2023-02-08 09:00:00,0.7,0.0,6.23
2023-02-08 12:00:00,1.14,0.0,6.28
2023-02-08 15:00:00,2.72,0.0,6.25
2023-02-08 18:00:00,2.5,0.0,6.25
2023-02-08 21:00:00,0.99,0.0,6.25
2023-02-09 00:00:00,1.11,0.0,6.21
2023-02-09 03:00:00,2.58,0.0,6.13
2023-02-09 06:00:00,2.42,0.0,6.05
2023-02-09 09:00:00,0.88,0.89,6.01
2023-02-09 12:00:00,0.91,4.32,5.97
2023-02-09 15:00:00,2.54,0.73,5.89
2023-02-09 18:00:00,2.71,0.06,5.85
2023-02-09 21:00:00,1.2,0.07,5.82
2023-02-10 00:00:00,0.89,0.0,5.77
2023-02-10 03:00:00,2.33,0.0,5.73
2023-02-10 06:00:00,2.61,0.0,5.81
2023-02-10 09:00:00,1.15,0.0,6.01
2023-02-10 12:00:00,0.8,0.29,6.17
2023-02-10 15:00:00,2.28,14.49,6.09
2023-02-10 18:00:00,2.85,0.09,5.96
2023-02-10 21:00:00,1.5,0.0,5.89
2023-02-11 00:00:00,0.81,0.76,5.82
2023-02-11 03:00:00,2.0,1.86,5.77
2023-02-11 06:00:00,2.69,0.01,5.76
2023-02-11 09:00:00,1.52,0.0,5.77
2023-02-11 12:00:00,0.8,8.42,5.78
2023-02-11 15:00:00,2.0,0.65,5.8
2023-02-11 18:00:00,2.91,0.09,5.78
2023-02-11 21:00:00,1.88,5.07,5.84
2023-02-12 00:00:00,0.87,0.35,6.09
2023-02-12 03:00:00,1.73,0.0,6.2
2023-02-12 06:00:00,2.67,0.0,6.31
2023-02-12 09:00:00,1.86,0.0,6.31
2023-02-12 12:00:00,0.92,0.33,6.28
2023-02-12 15:00:00,1.71,0.76,6.23
2023-02-12 18:00:00,2.8,0.0,6.17
2023-02-12 21:00:00,2.18,0.7,6.2
2023-02-13 00:00:00,0.98,2.1,6.18
2023-02-13 03:00:00,1.36,0.0,6.15
2023-02-13 06:00:00,2.48,4.53,6.14
2023-02-13 09:00:00,2.16,0.09,6.18
2023-02-13 12:00:00,1.12,0.0,6.16
2023-02-13 15:00:00,1.43,0.59,6.06
2023-02-13 18:00:00,2.58,0.0,5.99
2023-02-13 21:00:00,2.43,0.0,5.96
2023-02-14 00:00:00,1.24,5.26,5.96
2023-02-14 03:00:00,1.13,7.65,6.06
2023-02-14 06:00:00,2.13,9.85,6.28
2023-02-14 09:00:00,2.32,1.25,6.28
2023-02-14 12:00:00,1.42,0.46,6.15
2023-02-14 15:00:00,1.24,0.0,6.05
2023-02-14 18:00:00,2.19,0.0,6.01
2023-02-14 21:00:00,2.53,0.0,5.97
2023-02-15 00:00:00,1.59,0.0,5.94
2023-02-15 03:00:00,0.98,0.0,5.89
2023-02-15 06:00:00,1.72,0.0,5.9
2023-02-15 09:00:00,2.36,0.0,5.93
2023-02-15 12:00:00,1.79,0.0,5.89
2023-02-15 15:00:00,1.19,0.0,5.86
2023-02-15 18:00:00,1.78,0.0,5.83
2023-02-15 21:00:00,2.54,0.59,5.8
2023-02-16 00:00:00,2.01,0.01,5.96
2023-02-16 03:00:00,1.04,0.0,6.27
2023-02-16 06:00:00,1.3,0.0,6.5
2023-02-16 09:00:00,2.24,0.0,6.62
2023-02-16 12:00:00,2.18,0.99,6.62
2023-02-16 15:00:00,1.33,0.0,6.75
2023-02-16 18:00:00,1.39,0.0,6.85
2023-02-16 21:00:00,2.34,0.0,6.79
2023-02-17 00:00:00,2.43,0.0,6.61
2023-02-17 03:00:00,1.35,0.0,6.44
2023-02-17 06:00:00,0.94,0.36,6.43
2023-02-17 09:00:00,1.94,0.0,6.6
2023-02-17 12:00:00,2.54,3.08,6.91
2023-02-17 15:00:00,1.68,0.1,7.27
2023-02-17 18:00:00,1.08,0.0,7.74
2023-02-17 21:00:00,1.99,0.0,7.95
2023-02-18 00:00:00,2.72,0.0,7.97
2023-02-18 03:00:00,1.78,0.0,7.81
2023-02-18 06:00:00,0.71,0.0,7.62
2023-02-18 09:00:00,1.5,0.21,7.48
2023-02-18 12:00:00,2.74,18.77,7.54
2023-02-18 15:00:00,2.18,0.0,7.68
2023-02-18 18:00:00,0.94,0.0,7.67
2023-02-18 21:00:00,1.47,0.0,7.79
2023-02-19 00:00:00,2.84,0.0,7.85
2023-02-19 03:00:00,2.38,0.0,7.71
2023-02-19 06:00:00,0.75,0.0,7.57
2023-02-19 09:00:00,0.96,1.05,7.49
2023-02-19 12:00:00,2.69,0.0,7.38
2023-02-19 15:00:00,2.77,0.24,7.26
2023-02-19 18:00:00,1.08,0.0,7.1
2023-02-19 21:00:00,0.92,0.0,6.98
2023-02-20 00:00:00,2.62,0.0,6.9
2023-02-20 03:00:00,2.92,6.02,6.85
2023-02-20 06:00:00,1.04,0.0,6.85
2023-02-20 09:00:00,0.46,0.06,6.99
2023-02-20 12:00:00,2.33,0.0,7.1
2023-02-20 15:00:00,3.23,0.0,7.23
2023-02-20 18:00:00,1.52,0.0,7.54
2023-02-20 21:00:00,0.54,0.0,7.63
2023-02-21 00:00:00,2.15,0.0,7.6
2023-02-21 03:00:00,3.26,0.0,7.5
2023-02-21 06:00:00,1.61,0.0,7.26
2023-02-21 09:00:00,0.21,0.0,7.06
2023-02-21 12:00:00,1.82,0.0,6.96
2023-02-21 15:00:00,3.46,0.0,7.03
2023-02-21 18:00:00,2.14,0.0,7.11
2023-02-21 21:00:00,0.4,0.0,7.1
2023-02-22 00:00:00,1.51,0.0,7.03
2023-02-22 03:00:00,3.26,0.0,7.02
2023-02-22 06:00:00,2.15,0.0,7.52
2023-02-22 09:00:00,0.31,0.0,8.2
2023-02-22 12:00:00,1.22,0.0,8.37
2023-02-22 15:00:00,3.29,0.0,8.35
2023-02-22 18:00:00,2.68,0.0,8.11
2023-02-22 21:00:00,0.59,0.0,7.73
2023-02-23 00:00:00,0.95,0.0,7.46
2023-02-23 03:00:00,2.92,0.0,7.36
2023-02-23 06:00:00,2.63,0.0,7.44
2023-02-23 09:00:00,0.6,0.28,7.4
2023-02-23 12:00:00,0.75,0.0,7.23
2023-02-23 15:00:00,2.91,0.0,7.17
2023-02-23 18:00:00,3.07,0.69,7.12
2023-02-23 21:00:00,0.96,5.41,7.0
2023-02-24 00:00:00,0.57,2.07,6.93
2023-02-24 03:00:00,2.45,0.5,7.13
2023-02-24 06:00:00,2.93,0.01,7.57
2023-02-24 09:00:00,1.12,0.0,7.88
2023-02-24 12:00:00,0.59,0.17,7.95
2023-02-24 15:00:00,2.4,0.0,8.02
2023-02-24 18:00:00,3.21,0.0,7.98
2023-02-24 21:00:00,1.51,0.0,7.76
2023-02-25 00:00:00,0.5,0.0,7.53
2023-02-25 03:00:00,1.93,0.0,7.35
2023-02-25 06:00:00,2.95,0.0,7.22
2023-02-25 09:00:00,1.61,0.0,7.14
2023-02-25 12:00:00,0.62,0.0,7.13
2023-02-25 15:00:00,1.87,0.0,7.05
2023-02-25 18:00:00,3.07,0.0,6.91
2023-02-25 21:00:00,1.93,0.0,6.75
2023-02-26 00:00:00,0.62,0.0,6.59
2023-02-26 03:00:00,1.48,0.0,6.48
2023-02-26 06:00:00,2.71,0.0,6.41
2023-02-26 09:00:00,2.03,0.0,6.36
2023-02-26 12:00:00,0.86,0.0,6.31
2023-02-26 15:00:00,1.47,0.0,6.28
2023-02-26 18:00:00,2.72,0.0,6.28
2023-02-26 21:00:00,2.27,0.0,6.27
2023-02-27 00:00:00,0.95,0.0,6.2
2023-02-27 03:00:00,1.14,0.13,6.1
2023-02-27 06:00:00,2.33,0.0,6.29
2023-02-27 09:00:00,2.3,0.0,6.91
2023-02-27 12:00:00,1.26,0.0,7.08
2023-02-27 15:00:00,1.3,0.0,7.27
2023-02-27 18:00:00,2.35,0.0,7.39
2023-02-27 21:00:00,2.43,0.0,7.34
2023-02-28 00:00:00,1.37,0.0,7.15
2023-02-28 03:00:00,1.08,0.0,6.92
2023-02-28 06:00:00,1.95,0.0,6.76
2023-02-28 09:00:00,2.34,0.0,6.77
2023-02-28 12:00:00,1.64,0.27,6.85
2023-02-28 15:00:00,1.27,0.0,6.89
2023-02-28 18:00:00,1.95,0.0,6.83
2023-02-28 21:00:00,2.42,0.0,6.72
2023-03-01 00:00:00,1.79,0.0,6.61
2023-03-01 03:00:00,1.16,2.43,6.52
2023-03-01 06:00:00,1.61,0.41,6.47
2023-03-01 09:00:00,2.29,0.16,6.48
2023-03-01 12:00:00,2.03,1.41,6.43
2023-03-01 15:00:00,1.43,0.0,6.34
2023-03-01 18:00:00,1.67,0.0,6.29
2023-03-01 21:00:00,2.33,0.0,6.3
2023-03-02 00:00:00,2.11,0.0,6.31
2023-03-02 03:00:00,1.32,0.0,6.28
2023-03-02 06:00:00,1.33,0.0,6.23
2023-03-02 09:00:00,2.09,0.0,6.19
2023-03-02 12:00:00,2.29,0.65,6.21
2023-03-02 15:00:00,1.65,0.0,6.22
2023-03-02 18:00:00,1.43,0.0,6.16
2023-03-02 21:00:00,2.08,0.52,6.1
2023-03-03 00:00:00,2.33,0.99,6.05
2023-03-03 03:00:00,1.56,1.81,6.03
2023-03-03 06:00:00,1.11,0.0,6.1
2023-03-03 09:00:00,1.79,0.0,6.4
2023-03-03 12:00:00,2.42,0.0,6.86
2023-03-03 15:00:00,1.87,0.0,7.15
2023-03-03 18:00:00,1.23,0.12,7.1
2023-03-03 21:00:00,1.78,0.47,7.02
2023-03-04 00:00:00,2.44,0.0,6.95
2023-03-04 03:00:00,1.86,0.0,6.93
2023-03-04 06:00:00,1.0,0.0,7.03
2023-03-04 09:00:00,1.5,0.0,7.12
2023-03-04 12:00:00,2.5,0.0,7.1
2023-03-04 15:00:00,2.19,0.0,7.02
2023-03-04 18:00:00,1.21,0.0,6.97
2023-03-04 21:00:00,1.51,0.0,6.92
2023-03-05 00:00:00,2.48,0.0,6.84
2023-03-05 03:00:00,2.18,0.0,6.82
2023-03-05 06:00:00,1.04,0.0,6.87
2023-03-05 09:00:00,1.22,0.0,6.99
2023-03-05 12:00:00,2.46,0.4,7.17
2023-03-05 15:00:00,2.49,0.0,7.21
2023-03-05 18:00:00,1.29,2.75,7.11
2023-03-05 21:00:00,1.22,0.11,6.92
2023-03-06 00:00:00,2.41,0.0,6.76
2023-03-06 03:00:00,2.53,0.0,6.65
2023-03-06 06:00:00,1.17,4.31,6.6
2023-03-06 09:00:00,0.95,10.66,6.72
2023-03-06 12:00:00,2.33,0.77,6.88
2023-03-06 15:00:00,2.73,0.0,6.95
2023-03-06 18:00:00,1.44,0.0,6.96
2023-03-06 21:00:00,0.98,0.0,7.08
2023-03-07 00:00:00,2.24,0.0,7.22
2023-03-07 03:00:00,2.72,2.74,7.27
2023-03-07 06:00:00,1.36,0.0,7.31
2023-03-07 09:00:00,0.75,0.0,7.33
2023-03-07 12:00:00,2.09,0.0,7.31
2023-03-07 15:00:00,2.89,0.43,7.33
2023-03-07 18:00:00,1.67,0.08,7.35
2023-03-07 21:00:00,0.8,0.0,7.41
2023-03-08 00:00:00,1.96,0.0,7.48
2023-03-08 03:00:00,2.87,0.0,7.56
2023-03-08 06:00:00,1.67,0.0,7.65
2023-03-08 09:00:00,0.67,0.13,7.76
2023-03-08 12:00:00,1.85,0.82,7.73
2023-03-08 15:00:00,3.04,0.2,7.57
2023-03-08 18:00:00,1.97,0.27,7.38
2023-03-08 21:00:00,0.72,2.57,7.18
2023-03-09 00:00:00,1.66,4.89,7.01
2023-03-09 03:00:00,2.96,0.65,7.04
2023-03-09 06:00:00,2.0,12.62,7.9
2023-03-09 09:00:00,0.67,4.03,8.5
2023-03-09 12:00:00,1.57,2.32,8.61
2023-03-09 15:00:00,3.12,0.0,8.67
2023-03-09 18:00:00,2.36,0.0,8.75
2023-03-09 21:00:00,0.79,0.0,8.74
2023-03-10 00:00:00,1.39,0.0,8.69
2023-03-10 03:00:00,2.92,0.0,8.63
2023-03-10 06:00:00,2.37,0.0,8.53
2023-03-10 09:00:00,0.85,0.0,8.36
2023-03-10 12:00:00,1.34,0.0,8.15
2023-03-10 15:00:00,2.99,3.05,8.0
2023-03-10 18:00:00,2.62,0.0,7.84
2023-03-10 21:00:00,0.91,0.0,7.68
2023-03-11 00:00:00,1.07,0.0,7.75
2023-03-11 03:00:00,2.69,0.07,7.76
2023-03-11 06:00:00,2.58,0.0,7.7
2023-03-11 09:00:00,1.03,0.0,7.78
2023-03-11 12:00:00,1.08,0.0,7.95
2023-03-11 15:00:00,2.71,7.07,7.98
2023-03-11 18:00:00,2.82,0.0,7.83
2023-03-11 21:00:00,1.16,0.0,7.64
